KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
1433760,192.9586327,190.2288559,195.7664547,0.02156471,0.05354517,0.01401706,0.00347192,16.982,13.884,13.128
2831828,106.5249901,105.0096385,108.0839129,0.00773511,0.01920628,0.00502782,0.00124535,18.779,14.845,14.062
2971472,40.70636445,40.64756017,40.76533609,0.00371285,0.00921901,0.00241335,0.00059777,14.948,10.889,10.028
2983661,148.6717651,147.4700108,149.8929121,0.01717199,0.04263804,0.01116179,0.00276469,16.738,13.49,12.695
3101838,201.853369,199.6159885,204.140557,0.02670871,0.06631771,0.01736066,0.0043001,16.47,13.252,12.375
3228276,111.9702783,111.4112458,112.5348484,0.01292178,0.03208477,0.00839915,0.00208041,16.114,12.928,12.112
3443923,144.1034034,143.1463179,145.0731424,0.01044099,0.02592498,0.00678664,0.001681,15.6,12.231,11.369
3545104,45.52411354,45.45144381,45.59701189,0.00150435,0.00373529,0.00097782,0.0002422,15.215,11.586,10.755
3556888,172.6611311,170.7009446,174.666037,0.01713104,0.04253637,0.01113517,0.0027581,16.973,13.686,12.872
3629762,23.99704609,23.97453586,24.01959789,0.00157265,0.0039049,0.00102223,0.0002532,12.919,9.349,8.478
3735000,110.1675383,109.2976685,111.0511145,0.0112945,0.02804424,0.00734142,0.00181841,17.344,13.284,12.438
3838516,178.8402605,176.1729996,181.5880397,0.03929923,0.09758,0.0255445,0.00632718,17.779,14.493,13.566
4037286,202.4080806,199.2437458,205.6726917,0.0178152,0.04423514,0.01157988,0.00286825,17.342,14.06,13.22
4039602,139.2516749,137.9232645,140.6054581,0.01502031,0.03729542,0.0097632,0.00241827,17.932,14.424,13.537
4068926,163.7529598,161.49965,166.0688835,0.01299385,0.03226373,0.008446,0.00209201,18.088,14.255,13.414
4137629,83.71764473,83.37274568,84.06535805,0.01326307,0.03293221,0.008621,0.00213535,16.365,12.824,12.071
4142913,27.72989233,27.63753072,27.82286229,0.00203044,0.00504158,0.00131979,0.0003269,11.383,7.967,7.163
4173772,45.27593543,45.2098923,45.34216837,0.00280572,0.0069666,0.00182372,0.00045172,14.009,10.675,9.848
4466520,100.4757434,100.1452974,100.8083382,0.01097773,0.0272577,0.00713552,0.00176741,14.876,11.535,10.653
4581084,41.65559872,41.57909934,41.7323751,0.00388856,0.00965529,0.00252756,0.00062606,14.016,10.31,9.484
4644194,92.93250341,92.45507837,93.41479611,0.00783307,0.01944952,0.0050915,0.00126112,17.058,13.158,12.335
4862505,194.4565007,192.3102554,196.6503183,0.0427689,0.10619519,0.02779979,0.00688579,16.459,13.132,12.249
4909186,111.369376,111.0047506,111.7363618,0.01833981,0.04553774,0.01192087,0.00295271,14.895,11.695,10.901
4921143,152.2658104,148.7365829,155.9634604,0.01734674,0.04307195,0.01127538,0.00279282,15.3,12.048,11.195
4938090,53.11031495,52.92631247,53.2955784,0.00330805,0.00821388,0.00215023,0.0005326,16.5,12.313,11.543
4997179,157.3800332,155.6410276,159.1576289,0.02524395,0.06268071,0.01640856,0.00406427,15.782,12.503,11.666
5112508,154.2619656,153.4030528,155.1303777,0.01262424,0.03134599,0.00820576,0.0020325,15.76,12.551,11.71
5256612,66.22161912,65.98126664,66.46369773,0.00197425,0.00490205,0.00128326,0.00031785,16.684,12.971,12.227
5435955,148.8408866,145.4508616,152.3897493,0.01933947,0.0480199,0.01257065,0.00311365,16.323,12.869,11.949
5435958,474.2528401,460.9245188,488.3601375,0.03769656,0.09360056,0.02450277,0.00606915,17.353,14.163,13.343
5522356,134.8621233,130.1455445,139.9269285,0.01566381,0.03889323,0.01018147,0.00252187,19.58,15.333,14.402
5597723,113.8203073,112.8576079,114.7992742,0.01196068,0.02969837,0.00777444,0.00192567,17.546,13.778,13.032
5608002,193.2483489,182.1545912,205.7553662,0.01192037,0.02959827,0.00774824,0.00191918,16.346,12.984,12.144
5630476,98.35516571,97.7222922,98.99614206,0.00895751,0.0222415,0.00582238,0.00144216,16.852,13.255,12.399
5802041,109.5499448,108.8866444,110.2212302,0.00751871,0.01866896,0.00488716,0.00121051,16.617,13.218,12.397
5855479,91.61690714,90.68987067,92.56274671,0.00976335,0.0242424,0.00634618,0.0015719,18.739,14.502,13.794
5855851,78.44671178,78.25852856,78.63578605,0.00454426,0.01128339,0.00295377,0.00073163,14.927,11.675,10.884
