KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
1995305,139.8820191,138.6398243,141.1462709,0.0127503,0.03165899,0.00828769,0.0020528,16.452,13.233,12.513
2164791,39.96435502,39.79829715,40.1317796,0.00285343,0.00708507,0.00185473,0.0004594,15.201,11.282,10.444
2283749,291.7952234,285.7416301,298.1060664,0.03434465,0.08527777,0.02232402,0.00552949,16.976,13.714,12.877
2693779,176.6579381,175.0404826,178.3050212,0.0189804,0.04712834,0.01233726,0.00305584,16.698,13.423,12.547
2832720,154.1089254,152.4120441,155.8433268,0.01966336,0.04882412,0.01278118,0.0031658,15.732,12.358,11.478
2834637,125.011999,124.3157978,125.7159016,0.01418778,0.03522826,0.00922206,0.00228423,16.096,12.74,11.893
3219046,63.17696764,62.87044269,63.48644247,0.00467439,0.01160651,0.00303835,0.00075258,17.65,13.453,12.625
3232191,71.38171394,71.02219272,71.74482812,0.00645157,0.01601925,0.00419352,0.0010387,17.625,13.514,12.715
3330684,26.52596514,26.46250714,26.58972278,0.00307949,0.00764637,0.00200167,0.0004958,15.904,11.201,10.311
3340246,112.935569,112.1571277,113.7246963,0.00889269,0.02208055,0.00578025,0.00143172,17.18,13.463,12.679
3453233,193.0167394,188.3232774,197.9457474,0.02094524,0.05200703,0.0136144,0.00337218,18.368,14.851,14.25
3561148,59.37750589,59.24988355,59.50566939,0.00315258,0.00782787,0.00204918,0.00050757,14.279,11.009,10.186
3629595,116.2332774,115.6461857,116.8262534,0.00897634,0.02228826,0.00583462,0.00144519,16.354,13.117,12.329
3631048,351.4842426,346.9923948,356.0917743,0.0463791,0.11515932,0.03014642,0.00746704,16.312,13.061,12.185
3642851,200.7227096,198.3496082,203.1522449,0.01965323,0.04879897,0.0127746,0.00316417,17.001,13.631,12.837
3654827,94.36731555,93.6206321,95.12578965,0.0074093,0.01839728,0.00481604,0.0011929,16.803,12.595,11.759
3731321,86.43782235,86.06477348,86.81406126,0.00854952,0.02122846,0.00555719,0.00137647,16.565,12.987,12.178
3940072,104.5611,103.2163766,105.9406825,0.0104433,0.02593071,0.00678814,0.00168137,14.714,11.509,10.707
3941669,117.1959463,116.578295,117.8200597,0.01689274,0.04194467,0.01098028,0.00271973,16.494,13.098,12.314
3954332,150.850325,148.5188803,153.2547862,0.01937313,0.04810348,0.01259253,0.00311907,18.365,14.584,13.789
4078409,76.33755409,75.74613521,76.93811399,0.00823941,0.02045845,0.00535561,0.00132654,18.064,13.895,13.155
4248433,36.98528819,36.91355234,37.05729844,0.00142734,0.00354409,0.00092777,0.0002298,15.722,11.328,10.433
4270856,151.1406692,149.051858,153.2877829,0.01219448,0.03027891,0.00792641,0.00196331,16.799,13.129,12.331
4448009,239.2053723,234.9094213,243.6584579,0.04811245,0.11946322,0.03127309,0.0077461,17.229,13.987,13.147
4470937,17.44772959,17.41462458,17.48095846,0.0007964,0.00197746,0.00051766,0.00012822,11.419,8.119,7.339
4545041,410.4395852,387.9050274,435.7015055,0.07077901,0.17574428,0.04600636,0.01139542,16.327,13.045,12.144
4545209,175.7325359,173.3435324,178.1871,0.02517396,0.06250694,0.01636307,0.00405301,16.571,13.211,12.374
4568065,82.10230458,81.67942183,82.52951021,0.00406189,0.01008567,0.00264023,0.00065396,16.07,12.334,11.513
4726552,157.5059888,155.9309587,159.1125824,0.01681351,0.04174794,0.01092878,0.00270697,17.132,14.006,13.169
4730040,227.1787846,222.6481157,231.8942339,0.01990064,0.0494133,0.01293542,0.003204,18.263,14.98,14.156
4741907,119.9565182,118.6370378,121.3051437,0.0076147,0.01890731,0.00494956,0.00122597,17.577,13.884,13.052
4815654,64.2794099,63.9250251,64.63767515,0.00280814,0.00697262,0.00182529,0.00045211,18.348,13.802,12.971
4856658,119.5711641,118.5362081,120.6240243,0.01092047,0.02711552,0.0070983,0.0017582,17.675,13.602,12.735
4913121,66.69820211,66.23028258,67.17266097,0.00366553,0.00910152,0.0023826,0.00059015,18.449,13.938,13.082
4917182,91.45145709,90.95874539,91.94943974,0.0081268,0.02017885,0.00528242,0.00130841,16.921,12.816,11.926
4946433,117.3136132,114.3643472,120.4161746,0.0234263,0.0581675,0.01522709,0.00377163,14.284,11.045,10.219
5002836,28.14214531,28.12219897,28.16211945,0.00270736,0.00672237,0.00175978,0.00043588,13.685,9.964,9.163
5079348,76.93669764,76.73869482,77.13570665,0.00776558,0.01928193,0.00504762,0.00125026,15.086,11.884,11.045
5122206,45.8567854,45.77700014,45.9368443,0.00269272,0.00668603,0.00175027,0.00043353,14.036,10.765,9.996
5126248,122.1801558,121.0812653,123.2988133,0.01070622,0.02658354,0.00695904,0.0017237,15.93,12.704,11.877
5175854,67.24652314,66.87777244,67.61928965,0.00633776,0.01573667,0.00411955,0.00102038,18.3,13.826,12.928
5181762,206.1388805,204.0261732,208.2950029,0.02940347,0.07300883,0.01911226,0.00473396,16.378,13.153,12.278
5256590,129.2970561,127.7348008,130.8972994,0.01527196,0.03792029,0.00992678,0.00245879,18.252,14.363,13.706
5304146,77.21877824,76.45412684,77.99860117,0.01055663,0.0262121,0.00686181,0.00169962,14.944,11.696,10.903
5341486,229.710377,208.7247964,255.3110687,0.04592627,0.11403493,0.02985207,0.00739413,17.152,13.414,12.535
5353762,54.99550777,54.62414478,55.37186359,0.00407482,0.01011779,0.00264864,0.00065605,18.876,14.023,13.064
5354341,66.58808798,66.40601881,66.77114044,0.00880507,0.02186299,0.0057233,0.00141762,16.199,12.33,11.539
5438886,157.2350004,155.7945486,158.7018531,0.01264643,0.03140108,0.00822018,0.00203607,17.102,13.772,12.93
5513232,239.5218192,235.848926,243.3088065,0.04706148,0.11685367,0.03058996,0.0075769,16.458,13.09,12.201
